patent_id,public,
8121708,0,
8109265,0,
8103116,0,
8103045,0,
8094886,0,
8094023,0,
8094689,0,
8080280,0,
8075664,0,
8071164,0,
8065904,0,
8047829,0,
8048242,0,
8047978,0,
8046742,0,
8036720,0,
8022390,0,
8020726,0,
8022987,0,
8014639,0,
8006776,0,
8009772,0,
8009356,0,
8000804,0,
7998239,0,
7992309,0,
7996197,0,
7995877,0,
7995191,0,
7980828,0,
7955945,0,
7947397,0,
7948153,0,
7942097,0,
7943116,0,
7938707,0,
7940377,0,
7929439,0,
7913534,0,
7915626,0,
7917757,0,
7886434,0,
7878063,0,
7880961,0,
7875101,0,
7877234,0,
7865336,0,
7859350,0,
7851973,0,
7838823,0,
7820970,0,
7802193,0,
7795770,0,
7790051,0,
7787719,0,
7781709,0,
7775305,0,
7754077,0,
7755079,0,
7756682,0,
7744737,0,
7745315,0,
7741613,0,
7742640,0,
7728248,0,
7719318,0,
7713395,0,
7714240,0,
7710232,0,
7708943,0,
7704489,0,
7697134,0,
7685923,0,
7683310,0,
7679297,0,
7670933,0,
7671858,0,
7652547,0,
7653155,0,
7650028,0,
7646473,0,
7633362,0,
7622596,0,
7618524,0,
7618600,0,
7620269,0,
7618500,0,
7616077,0,
7611834,0,
7612541,0,
7608174,0,
7608233,0,
7608367,0,
7608461,0,
7610130,0,
7602307,0,
7597819,0,
7595349,0,
7591871,0,
7588694,0,
7567060,0,
7564387,0,
7560028,0,
7556945,0,
7553455,0,
7550071,0,
7548004,0,
7545065,0,
7540469,0,
7542624,0,
7534315,0,
7530312,0,
7527671,0,
7524672,0,
7526465,0,
7514004,0,
7514493,0,
7516112,0,
7498681,0,
7499841,0,
7494557,0,
7495748,0,
7449579,0,
7449699,0,
7450081,0,
7434299,0,
7435297,0,
7436349,0,
7426873,0,
7427302,0,
7421924,0,
7422724,0,
7420442,0,
7420656,0,
7417222,0,
7410762,0,
7408512,0,
7403065,0,
7399449,0,
7397301,0,
7390201,0,
7383774,0,
7386352,0,
7378533,0,
7375332,0,
7376507,0,
7368290,0,
7370023,0,
7362859,0,
7358221,0,
7355720,0,
7355986,0,
7351380,0,
7344681,0,
7345647,0,
7340938,0,
7338590,0,
7339454,0,
7339584,0,
7339738,0,
7336351,0,
7336855,0,
7329857,0,
7314208,0,
7314505,0,
7311882,0,
7310142,0,
7306824,0,
7308317,0,
7308374,0,
7306780,0,
7303593,0,
7299711,0,
7300615,0,
7297246,0,
7298010,0,
7291003,0,
7289009,0,
7274815,0,
7271310,0,
7263955,0,
7264723,0,
7264778,0,
7264962,0,
7259716,0,
7256667,0,
